Price,Address,Beds,Baths,Property_Type_1.0,Property_Type_2.0,Property_Type_3.0,Property_Type_4.0,Property_Type_5.0,Property_Type_6.0
250000,365000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
825000,518500,5,3,1.0,0.0,0.0,0.0,0.0,0.0
275000,320000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
195000,355000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
625000,632000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
295000,343000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
835000,632000,3,1,0.0,0.0,0.0,0.0,1.0,0.0
1200000,605000,3,3,0.0,1.0,0.0,0.0,0.0,0.0
315000,632000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
495000,410000,3,1,1.0,0.0,0.0,0.0,0.0,0.0
245000,355000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
285000,304000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
239950,315000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
275000,304000,2,1,0.0,0.0,0.0,1.0,0.0,0.0
400000,343000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
895000,510000,5,3,0.0,0.0,0.0,0.0,0.0,1.0
370000,275000,4,3,0.0,0.0,0.0,1.0,0.0,0.0
239000,275000,2,1,0.0,0.0,0.0,0.0,1.0,0.0
525000,518500,3,1,1.0,0.0,0.0,0.0,0.0,0.0
299000,433000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
160000,355000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
325000,365000,2,1,0.0,0.0,0.0,1.0,0.0,0.0
950000,605000,3,3,0.0,1.0,0.0,0.0,0.0,0.0
315000,347500,3,1,0.0,0.0,0.0,1.0,0.0,0.0
250000,275000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
276000,410000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
995000,343000,3,3,0.0,0.0,0.0,1.0,0.0,0.0
940000,632000,4,1,0.0,0.0,0.0,0.0,1.0,0.0
395000,400000,3,3,0.0,0.0,0.0,1.0,0.0,0.0
295000,304000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
295000,433000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
450000,304000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
395000,340000,4,3,0.0,0.0,0.0,0.0,0.0,1.0
275000,246000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
275000,343000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
695000,347500,4,1,0.0,0.0,1.0,0.0,0.0,0.0
595000,510000,3,2,0.0,0.0,1.0,0.0,0.0,0.0
259000,343000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
280000,352750,2,2,0.0,1.0,0.0,0.0,0.0,0.0
450000,340000,4,3,1.0,0.0,0.0,0.0,0.0,0.0
235000,340000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
445000,510000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
425000,433000,3,1,0.0,0.0,0.0,0.0,1.0,0.0
610000,410000,5,4,1.0,0.0,0.0,0.0,0.0,0.0
525000,365000,2,1,0.0,0.0,0.0,1.0,0.0,0.0
595000,632000,2,2,0.0,0.0,0.0,0.0,0.0,1.0
695000,560000,3,1,1.0,0.0,0.0,0.0,0.0,0.0
525000,632000,2,1,0.0,0.0,0.0,1.0,0.0,0.0
650000,510000,4,2,0.0,0.0,0.0,0.0,1.0,0.0
239950,304000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
1075000,632000,4,3,0.0,0.0,0.0,0.0,0.0,1.0
399000,340000,4,3,0.0,0.0,0.0,0.0,0.0,1.0
375000,355000,6,3,0.0,0.0,0.0,0.0,1.0,0.0
285000,632000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
325000,595000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
360000,433000,3,1,0.0,0.0,0.0,0.0,1.0,0.0
675000,433000,3,2,0.0,0.0,0.0,1.0,0.0,0.0
225000,355000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
425000,632000,2,1,0.0,0.0,0.0,1.0,0.0,0.0
795000,605000,3,2,0.0,0.0,0.0,1.0,0.0,0.0
645000,632000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
525000,304000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
515000,510000,3,2,0.0,1.0,0.0,0.0,0.0,0.0
625000,320000,3,2,0.0,0.0,0.0,0.0,1.0,0.0
495000,400000,3,1,1.0,0.0,0.0,0.0,0.0,0.0
395000,560000,2,1,0.0,0.0,0.0,0.0,0.0,1.0
520000,355000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
525000,343000,4,2,0.0,0.0,0.0,0.0,1.0,0.0
210000,304000,2,1,0.0,0.0,0.0,0.0,1.0,0.0
250000,355000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
300000,433000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
340000,347500,3,2,1.0,0.0,0.0,0.0,0.0,0.0
450000,340000,3,3,0.0,0.0,0.0,1.0,0.0,0.0
265000,400000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
795000,355000,4,3,1.0,0.0,0.0,0.0,0.0,0.0
1500000,632000,4,2,1.0,0.0,0.0,0.0,0.0,0.0
325000,340000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
1600000,518500,4,3,0.0,0.0,0.0,0.0,0.0,1.0
1650000,632000,4,4,0.0,0.0,0.0,1.0,0.0,0.0
295000,400000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
425000,365000,4,3,0.0,0.0,0.0,1.0,0.0,0.0
745000,518500,4,1,1.0,0.0,0.0,0.0,0.0,0.0
525000,375000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
399000,375000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
285000,246000,2,2,0.0,0.0,0.0,1.0,0.0,0.0
395000,410000,3,3,0.0,0.0,0.0,1.0,0.0,0.0
350000,433000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
275000,340000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
239000,246000,2,2,0.0,0.0,0.0,0.0,1.0,0.0
225000,355000,3,1,1.0,0.0,0.0,0.0,0.0,0.0
370000,340000,3,3,0.0,0.0,0.0,1.0,0.0,0.0
259000,410000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
3975000,605000,5,4,0.0,0.0,0.0,0.0,0.0,1.0
595000,365000,6,2,0.0,0.0,0.0,1.0,0.0,0.0
650000,510000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
525000,605000,3,3,0.0,1.0,0.0,0.0,0.0,0.0
400000,343000,1,1,0.0,0.0,0.0,1.0,0.0,0.0
575000,510000,4,3,1.0,0.0,0.0,0.0,0.0,0.0
395000,365000,2,1,0.0,0.0,0.0,1.0,0.0,0.0
265000,355000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
395000,304000,3,2,0.0,0.0,0.0,0.0,1.0,0.0
300000,343000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
525000,275000,3,3,0.0,0.0,0.0,0.0,0.0,1.0
345000,375000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
750000,605000,3,4,0.0,0.0,0.0,1.0,0.0,0.0
3950000,595000,7,10,0.0,0.0,0.0,0.0,0.0,1.0
245000,605000,1,1,0.0,0.0,0.0,1.0,0.0,0.0
825000,632000,3,3,0.0,0.0,0.0,1.0,0.0,0.0
370000,355000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
285000,605000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
249000,246000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
575000,343000,3,2,0.0,0.0,0.0,0.0,1.0,0.0
398000,605000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
650000,510000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
399950,433000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
524950,595000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
1850000,347500,14,6,0.0,0.0,0.0,1.0,0.0,0.0
255000,315000,3,1,0.0,0.0,1.0,0.0,0.0,0.0
595000,365000,3,3,0.0,0.0,0.0,1.0,0.0,0.0
245000,355000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
185000,315000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
295000,410000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
485000,355000,3,3,1.0,0.0,0.0,0.0,0.0,0.0
3150000,605000,4,4,1.0,0.0,0.0,0.0,0.0,0.0
1150000,410000,5,3,0.0,0.0,0.0,0.0,0.0,1.0
230000,433000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
230000,365000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
545000,518500,3,2,1.0,0.0,0.0,0.0,0.0,0.0
925000,320000,4,1,1.0,0.0,0.0,0.0,0.0,0.0
695000,343000,2,2,0.0,0.0,0.0,1.0,0.0,0.0
850000,595000,4,3,1.0,0.0,0.0,0.0,0.0,0.0
485000,375000,2,1,1.0,0.0,0.0,0.0,0.0,0.0
995000,632000,2,2,0.0,0.0,0.0,1.0,0.0,0.0
715000,355000,4,2,1.0,0.0,0.0,0.0,0.0,0.0
1975000,605000,4,4,0.0,0.0,0.0,0.0,1.0,0.0
460000,632000,2,1,0.0,1.0,0.0,0.0,0.0,0.0
399000,410000,4,2,0.0,0.0,0.0,0.0,1.0,0.0
250000,355000,2,2,0.0,1.0,0.0,0.0,0.0,0.0
315000,265000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
450000,365000,3,1,0.0,0.0,0.0,1.0,0.0,0.0
479000,315000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
595000,410000,4,1,1.0,0.0,0.0,0.0,0.0,0.0
575000,510000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
750000,320000,4,2,0.0,0.0,0.0,1.0,0.0,0.0
210000,343000,1,1,0.0,1.0,0.0,0.0,0.0,0.0
335000,355000,3,2,1.0,0.0,0.0,0.0,0.0,0.0
320000,343000,2,2,0.0,0.0,0.0,0.0,1.0,0.0
1700000,410000,5,5,0.0,0.0,0.0,0.0,0.0,1.0
