Price,Address,Beds,Baths,Footage,Type
"€550,000","12 Saint Martin's Drive, Kimmage, Kimmage, Dublin 6W",3 Bed,2 Bath,108 m²,Semi-D
"€550,000","102 Iveragh Road, Whitehall, Whitehall, Dublin 9",3 Bed,2 Bath,175 m²,Semi-D
"€250,000","9 Church Avenue, Glasnevin, Glasnevin, Dublin 11",2 Bed,1 Bath,52 m²,Terrace
"€345,000","28 Temple View Copse, Clarehall, Clarehall, Dublin 13",3 Bed,3 Bath,110 m²,Semi-D
"€275,000","9 Applewood Mews, Applewood, Swords, Co. Dublin",2 Bed,1 Bath,89 m²,Duplex
"€605,000","16 Robin Villas, Palmerstown, Dublin 20",4 Bed,4 Bath,130 m²,Bungalow
"€245,000","5 Waterville Terrace, Waterville, Blanchardstown, Dublin 15",2 Bed,1 Bath,60 m²,Apartment
"€900,000","128 Lower Drumcondra Road, Drumcondra, Dublin 9",4 Bed,3 Bath,174 m²,End of Terrace
"€620,000","64 Manor Street, Dublin 7",5 Bed,2 Bath,145 m²,Terrace
"€340,000","35 Drynam Drive, Drynam Hall, Kinsealy, Co. Dublin",3 Bed,3 Bath,78 m²,Detached
"€310,000","9 Ballygarra Park, Garristown, Co. Dublin",3 Bed,2 Bath,N/A,Semi-D
"€239,500","65 Drogheda Street, Balbriggan, Co. Dublin",3 Bed,1 Bath,88 m²,Terrace
"€1,200,000","30 Charleston Avenue, Ranelagh, Dublin 6",4 Bed,1 Bath,165 m²,Terrace
"€330,000","18 Castleview Way, Swords, Co. Dublin",3 Bed,3 Bath,N/A,End of Terrace
"€390,000","66 Glentow Road, Whitehall, Dublin 9",3 Bed,2 Bath,N/A,Terrace
"€375,000","Apartment 172, The Oak, Rathfarnham, Dublin 14",2 Bed,2 Bath,66 m²,Apartment
"€695,000","3 Clounties Court, Swords Road, Malahide, Co. Dublin",4 Bed,4 Bath,157 m²,Terrace
"€2,500,000","Galtee Lodge, 16 Asgard Road, Howth, Dublin 13",6 Bed,4 Bath,366 m²,Detached
"€675,000","76 Taney Road, Dundrum, Dundrum, Dublin 14",4 Bed,2 Bath,158 m²,Semi-D
"€395,000","1A Hilltown Way, Swords, Co. Dublin",3 Bed,2 Bath,128 m²,Detached
"€1,750,000","9 Iona Drive, Glasnevin, Dublin 9",6 Bed,8 Bath,230 m²,Detached
"€450,000","61 Church Avenue, Drumcondra, Dublin 9",2 Bed,1 Bath,94 m²,Terrace
"€485,000","28 Claremont Drive, Glasnevin, Dublin 11",3 Bed,2 Bath,121 m²,Semi-D
