Price,Address,Beds,Baths,Footage,Type
550000,25,3,2,108,1
550000,9,3,2,175,1
250000,11,2,1,52,4
345000,13,3,3,110,1
605000,20,4,4,130,3
245000,15,2,1,60,2
900000,9,4,3,174,5
620000,7,5,2,145,4
1200000,6,4,1,165,4
375000,14,2,2,66,2
2500000,13,6,4,366,6
675000,14,4,2,158,1
1750000,9,6,8,230,6
450000,9,2,1,94,4
485000,11,3,2,121,1
349950,8,3,1,81,4
395000,6,2,2,75,2
1400000,6,3,3,170,1
550000,13,4,1,132,6
795000,8,2,2,123,4
275000,24,3,1,82,4
695000,7,4,2,126,4
470000,12,3,1,98,4
415000,6,2,1,75,5
540000,2,3,2,82,2
285000,15,3,1,84,1
450000,6,2,2,88,2
495000,9,4,2,132,1
395000,7,3,1,72,5
295000,15,3,2,90,1
285000,1,2,1,62,2
465000,18,2,2,118,2
450000,8,2,2,70,4
550000,2,2,2,74,2
1395000,6,5,3,254,5
4750000,18,5,4,414,6
430000,18,3,1,84,4
945000,6,4,3,158,4
265000,13,2,2,88,2
525000,7,2,1,71,4
750000,9,3,2,127,1
325000,15,3,2,121,2
375000,15,3,3,100,1
395000,3,3,3,104,2
3000000,4,5,4,341,4
590000,15,3,3,108,1
325000,12,2,2,71,5
575000,16,3,1,100,1
640000,18,4,4,150,1
350000,3,3,3,105,5
250000,15,2,1,65,2
795000,9,5,1,163,5
489500,14,2,2,87,2
3250000,4,5,6,372,6
295000,3,3,1,78,4
335000,4,2,1,72,2
815000,4,3,3,96,4
545000,11,4,2,170,1
1375000,13,5,2,186,3
275000,17,4,1,90,4
290000,9,2,2,69,2
265000,5,2,1,54,2
1150000,3,4,2,221,6
995000,8,3,3,152,4
595000,25,3,2,100,2
585000,15,5,3,147,4
745000,7,4,2,141,4
725000,3,3,2,100,1
395000,1,4,1,89,5
265000,22,3,2,102,1
465000,2,3,2,88,2
585000,14,3,1,108,1
595000,4,2,2,70,5
260000,15,2,2,84,2
595000,3,3,3,147,4
360000,4,1,1,51,2
500000,15,4,3,195,6
220000,15,1,1,44,2
290000,4,1,1,46,2
950000,14,4,2,192,6
245000,15,2,2,62,2
260000,6,1,1,46,2
780000,5,4,3,182,1
549000,13,5,4,174,1
1250000,4,3,4,170,2
295000,3,3,1,78,4
347500,8,3,1,64,4
1695000,6,3,2,228,4
635000,6,2,2,104,2
525000,4,2,1,62,4
425000,4,2,1,57,4
275000,8,2,1,59,4
695000,25,3,2,106,1
950000,9,4,4,250,2
305000,3,2,1,56,4
1250000,14,4,2,175,3
275000,13,2,2,82,2
320000,13,1,1,55,2
595000,14,3,1,90,4
3975000,6,5,4,341,6
325000,4,1,1,42,2
350000,3,2,1,63,4
395000,8,2,1,73,4
450000,7,2,2,95,4
295000,14,1,1,46,2
450000,7,3,2,92,4
255000,15,2,1,75,2
425000,4,2,2,66,5
395000,8,2,2,76,2
575000,24,4,3,146,6
295000,7,2,1,65,2
450000,1,2,2,74,2
395000,20,4,3,110,4
645000,6,3,2,117,4
310000,8,2,1,64,2
295000,12,3,1,109,4
375000,4,2,1,52,4
475000,15,4,3,153,1
330000,8,3,2,72,4
725000,18,4,3,168,1
250000,8,2,1,55,2
340000,11,3,1,9,1
275000,10,2,2,87,4
1700000,13,5,5,312,6
